Chinese;English;Story
社;;shlomo gets a sign from god to create a group of golems. so in the bathroom of my 1st berlin flat, he uses his earth/poo to create a whole society of golems.
现;;the king appears in my hanoi flat's bathroom. it's my ex.
括;;kim wexler is in the bathroom of osaka flat. he has bulemia. in other words, she wants to eat but not to include the colories in her figure. so she puts her hand on her tongue and pushes it into her throat...
明显;;a bright thing made visible is clear, obvious
信息;;A letter containing news is basically the same like a message
代<br>;;In dostojevski's (d-) generation a person could easily get shot for writing something wrong. So he traveled to Iceland and hid in the bathroom/toilet of his hut (-ai) for a long period. That was a different era.
何;;Can it be that the person in the entrance of 1st flat berlin (-e) is hitler? I wonder how he got here and what he wants?
全;;We all know, the person feeling like a king in the entrance of hanoi flat (-an) is qtip (qu-).
况;;"kim wexler (ku-) in the bathroom/toilet of angkor flat (-ang) and eats icecream with my older brother. Moreover, they are showing together. What an odd situation.&nbsp;"
其实;;its truly / means actually, in fact
活;;huell babineaux arrives in the entrance of my osaka flat. after climbing the stairs, he is barely alive and drips a few of drops of water o his tongue
设;;"shlomo (sh-) has setup and arranged a wooden spear&nbsp;for his speech in the bathroom/toilet of 1st flat berlin (-e).&nbsp;"
备;;The bitch wants to walk in the fields a bit so she goes to the bathroom/toilet of subway station to prepare and get ready.
匙;;"(jesus) christ does the security check in the entrance of space station. saying: ""only spoons are allowed but no daggers. especially for you judas!"""
方面;;A square face has an interesting aspect ratio
